0.31,2.56,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.69,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.18,2.75,1.89,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.49,2.69,-0.12,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.67,2.75,-0.24,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.31,2.75,2.20,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.75,1.16,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.81,-0.85,-0.08,-0.03,0.97,58.29,812.40,-45.68
0.43,2.75,1.34,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.31,2.69,2.01,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.24,2.69,2.20,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.69,2.38,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.69,2.20,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.43,2.75,0.67,-0.06,-0.02,0.97,58.29,812.40,-45.68
0.31,2.69,1.40,-0.08,-0.03,0.97,58.29,812.40,-45.68
0.31,2.56,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.69,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.69,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.32,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.43,2.56,2.32,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.37,2.75,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.62,2.26,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.31,2.69,2.20,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.75,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.56,2.26,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.49,2.69,2.38,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.62,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.69,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.69,2.26,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.24,2.75,2.26,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.24,2.69,2.38,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.20,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.62,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.26,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.31,2.62,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.69,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.14,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.37,2.75,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.62,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.69,2.26,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.24,2.69,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.62,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.24,2.62,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.31,2.69,2.20,-0.07,-0.02,0.97,58.29,812.40,-45.68
0.37,2.69,2.32,-0.07,-0.03,0.96,58.29,812.40,-45.68
0.24,2.62,2.32,-0.07,-0.03,0.97,58.29,812.40,-45.68
0.37,2.62,2.26,-0.07,-0.03,0.97,58.29,812.40,-45.68
off
